S.No.,India/State/Union Territory,Population 2011,Decadal Population Growth Rate 2001-2011,Population Density (per sq.km) - 2011
NA,All India,1210854977,17.7,368
1,Andhra Pradesh,49386799,9,308
2,Arunachal Pradesh,1383727,26,17
3,Assam,31205576,17.1,398
4,Bihar,104099452,25.4,1106
5,Chhattisgarh,25545198,22.6,189
6,Goa,1458545,8.2,394
7,Gujarat,60439692,19.3,308
8,Haryana,25351462,19.9,573
9,Himachal Pradesh,6864602,12.9,123
10,Jammu & Kashmir,12541302,23.6,56
11,Jharkhand,32988134,22.4,414
12,Karnataka,61095297,15.6,319
13,Kerala,33406061,4.9,860
14,Madhya Pradesh,72626809,20.3,236
15,Maharashtra,112374333,16,365
16,Manipur,2855794,31.8,128
17,Meghalaya,2966889,27.9,132
18,Mizoram,1097206,23.5,52
19,Nagaland,1978502,-0.6,119
20,Odisha,41974218,14,270
21,Punjab,27743338,13.9,551
22,Rajasthan,68548437,21.3,200
23,Sikkim,610577,12.9,86
24,Tamil Nadu,72147030,15.6,555
25,Telangana,35193978,13.58,306
26,Tripura,3673917,14.8,350
27,Uttarakhand,10086292,18.8,189
28,Uttar Pradesh,199812341,20.2,829
29,West Bengal,91276115,13.8,1028
30,Andaman & Nicobar Island,380581,6.9,46
31,Chandigarh,1055450,17.2,9258
32,Dadra & Nagar Haveli,343709,55.9,700
33,Daman & Diu,243247,53.8,2191
34,Delhi,16787941,21.2,11320
35,Lakshadweep,64473,6.3,2149
36,Puducherry,1247953,28.1,2547
