India/State/Union Territory,Population Density 
Andaman & Nicobar Island,46
Andhra Pradesh,307
Arunachal Pradesh,17
Assam,398
Bihar,1106
Chandigarh,9258
Chhattisgarh,189
Delhi,11320
Goa,394
Gujarat,308
Haryana,573
Himachal Pradesh,123
Jammu & Kashmir,56
Jharkhand,414
Karnataka,319
Kerala,860
Madhya Pradesh,236
Maharashtra,365
Manipur,128
Meghalaya,132
Mizoram,52
Odisha,270
Puducherry,2547
Punjab,551
Rajasthan,200
Tamil Nadu,555
Tripura,350
Uttar Pradesh,829
Uttarakhand,189
West Bengal,1028
